Drive_SGD
There are 6742 1's and 6265 7's in training data
There are 1135 1's and 1028 7's in test data
Initially: f = 3.493136e+01, nor(g) = 1.948851e+01
iter 173: f = 1.409188e+00, norg = 7.441671e-01
iter 174: f = 1.408814e+00, norg = 7.441284e-01
iter 175: f = 1.408442e+00, norg = 7.440912e-01
iter 176: f = 1.408073e+00, norg = 7.440554e-01
iter 177: f = 1.407707e+00, norg = 7.440210e-01
iter 178: f = 1.407343e+00, norg = 7.439878e-01
iter 179: f = 1.406982e+00, norg = 7.439559e-01
iter 180: f = 1.406624e+00, norg = 7.439252e-01
iter 181: f = 1.406268e+00, norg = 7.438956e-01
iter 182: f = 1.405915e+00, norg = 7.438672e-01
iter 183: f = 1.405564e+00, norg = 7.438397e-01
iter 184: f = 1.405215e+00, norg = 7.438132e-01
iter 185: f = 1.404869e+00, norg = 7.437877e-01
iter 186: f = 1.404526e+00, norg = 7.437631e-01
iter 187: f = 1.404184e+00, norg = 7.437393e-01
iter 188: f = 1.403845e+00, norg = 7.437164e-01
iter 189: f = 1.403508e+00, norg = 7.436943e-01
iter 190: f = 1.403174e+00, norg = 7.436729e-01
iter 191: f = 1.402841e+00, norg = 7.436523e-01
iter 192: f = 1.402511e+00, norg = 7.436323e-01
iter 193: f = 1.402183e+00, norg = 7.436130e-01
iter 194: f = 1.401857e+00, norg = 7.435944e-01
iter 195: f = 1.401532e+00, norg = 7.435763e-01
iter 196: f = 1.401210e+00, norg = 7.435588e-01
iter 197: f = 1.400890e+00, norg = 7.435419e-01
iter 198: f = 1.400572e+00, norg = 7.435256e-01
iter 199: f = 1.400256e+00, norg = 7.435097e-01
iter 200: f = 1.399942e+00, norg = 7.434944e-01
iter 201: f = 1.399630e+00, norg = 7.434795e-01
iter # 202: f = 1.39962975502996, |df| = 7.4348e-01
CPUtime = 7.913071e+01, iter = 202
n_correct = 2076, n_wrong = 87, accuracy 9.597781e-01 percent
diary off
